"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,";"buzzardLabel";6;"";;;
2;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
3;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
4;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
5;"K5,K2";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
6;"C1,C2";"0805C";2;"CL10A226MP8NUNE";;;
7;"D1";"0402LED";1;"purple";;;
8;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
10;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
11;"L1";"DFE252012F-1R0M=P2";1;"DFE2016E-2R2M=P9";;;
12;"C3";"0805C";1;"C1608X7S1A475K080AC";;;
13;"R1";"0402R";1;"1k";;;
14;"U1";"tps613222a";1;"TPS613222A";;;
15;"K4,K6,K3,K1";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
16;"Ref**";"Version1.0.0.";1;"Val**";;;
